0x1FC1D2E30000	"FRRECSPN"
0x1FC1D2E3015B	"DTC 93-02"
0x1FC1D2E3015C	"DTC 93-03"
0x1FC1D2E3015D	"DTC 93-04"
0x1FC1D2E3015E	"油箱内阀打开指令"
0x1FC1D2E3015F	"油箱盖位置"
0x1FC1D2E30160	"燃料电池预充电接触器接通指令"
0x1FC1D2E30161	"油箱盖开启开关输入"
0x1FC1D2E30162	"油箱盖开关输入"
0x1FC1D2E30163	"所需门关闭信号功能安全参数"
0x1FC1D2E30164	"旁通喷射器喷射模式输出请求"
0x1FC1D2E30165	"氢气喷射器喷射模式输出请求"
0x1FC1D2E30166	"H2STKL监控器启用标记"
0x1FC1D2E30167	"H2STKC监控器启用标记"
0x1FC1D2E30168	"H2STKR监控器启用标记"
0x1FC1D2E30169	"H2TNK监控器启用标记"
0x1FC1D2E3016A	"有关平坦路段的状态"
0x1FC1D2E3016B	"F_HOT"
0x1FC1D2E3016C	"FCECU保持继电器1指令"
0x1FC1D2E3016D	"FCECU保持继电器2指令"
0x1FC1D2E3016E	"FCECU保持继电器3指令"
0x1FC1D2E3016F	"电源保持请求信号"
0x1FC1D2E30170	"点火开关打开条件"
0x1FC1D2E30171	"IG开关"
0x1FC1D2E30172	"喷油嘴"
0x1FC1D2E30173	"EPS F-CAN故障-诊断停止信号状态"
0x1FC1D2E30174	"EPS模式信号状态"
0x1FC1D2E30175	"IG1信号"
0x1FC1D2E30176	"报警触发输入"
0x1FC1D2E30177	"油箱盖触发输入"
0x1FC1D2E30178	"点火触发输入"
0x1FC1D2E30179	"其他单元触发输入"
0x1FC1D2E3017A	"有关下坡路段的状态"
0x1FC1D2E3017B	"F_LKAS_GO"
0x1FC1D2E3017C	"F_LOW"
0x1FC1D2E3017D	"超速档离合器检查模式请求"
0x1FC1D2E3017E	"前主转向角"
0x1FC1D2E3017F	"前主转向角"
0x1FC1D2E30180	"完全"
0x1FC1D2E30181	"F_MID"
0x1FC1D2E30182	"F_MID_HOT"
0x1FC1D2E30183	"F_MID_LOW"
0x1FC1D2E30184	"前M/S转向角"
0x1FC1D2E30185	"N档指示器输出"
0x1FC1D2E30186	"氧气稀薄过程执行标记"
0x1FC1D2E30187	"过电流状态"
0x1FC1D2E30188	"过电流状态"
0x1FC1D2E30189	"过电流状态"
0x1FC1D2E3018A	"过电流状态（GEN）"
0x1FC1D2E3018B	"过电流状态（TRC）"
0x1FC1D2E3018C	"过电流状态（电机）"
0x1FC1D2E3018D	"过电流状态（TMU-L）"
0x1FC1D2E3018E	"过电流状态（TMU-R）"
0x1FC1D2E3018F	"过电流状态（GEN）"
0x1FC1D2E30190	"过电流状态（TRC）"
0x1FC1D2E30191	"过电流状态（TMU-L）"
0x1FC1D2E30192	"过电流状态（TMU-R）"
0x1FC1D2E30193	"F_OPE"
0x1FC1D2E30194	"F_O_HEAT"
0x1FC1D2E30195	"通过报警触发唤醒"
0x1FC1D2E30196	"通过油箱盖触发唤醒"
0x1FC1D2E30197	"通过点火触发唤醒"
0x1FC1D2E30198	"通过其他单元触发唤醒"
0x1FC1D2E30199	"前部乘客"
0x1FC1D2E3019A	"前排乘客车门"
0x1FC1D2E3019B	"节能PDU温度标记"
0x1FC1D2E3019C	"节能PDU温度标记"
0x1FC1D2E3019D	"节能PDU温度标记（GEN）"
0x1FC1D2E3019E	"节能PDU温度标记（TRC）"
0x1FC1D2E3019F	"节能PDU温度标记（GEN）"
0x1FC1D2E301A0	"节能PDU温度标记（TRC）"
0x1FC1D2E301A1	"P档指示器输出"
0x1FC1D2E301A2	"P禁止警告输出"
0x1FC1D2E301A3	"开关信号针脚1"
0x1FC1D2E301A4	"开关信号针脚2"
0x1FC1D2E301A5	"非P信号1"
0x1FC1D2E301A6	"非P信号2"
0x1FC1D2E301A7	"P信号1"
0x1FC1D2E301A8	"P信号2"
0x1FC1D2E301A9	"电源系统指示灯状态"
0x1FC1D2E301AA	"前部乘客气囊"
0x1FC1D2E301AB	"高压蓄电池模块1功率降低标记"
0x1FC1D2E301AC	"高压蓄电池模块2功率降低标记"
0x1FC1D2E301AD	"高压蓄电池模块3功率降低标记"
0x1FC1D2E301AE	"高压蓄电池模块4功率降低标记"
0x1FC1D2E301AF	"高压蓄电池模块5功率降低标记"
0x1FC1D2E301B0	"高压蓄电池模块6功率降低标记"
0x1FC1D2E301B1	"R档指示器输出"
0x1FC1D2E301B2	"R禁止警告输出"
0x1FC1D2E301B3	"检测到转速信号，请将发动机熄火。"
0x1FC1D2E301B4	"车辆运行状态"
0x1FC1D2E301B5	"RFC驱动输出请求"
0x1FC1D2E301B6	"RFC返回信号"
0x1FC1D2E301B7	"RTC报警状态"
0x1FC1D2E301B8	"RTC报警请求"
0x1FC1D2E301B9	"时钟初始化完成标记"
0x1FC1D2E301BA	"时钟初始化请求标记"
0x1FC1D2E301BB	"燃料电池堆旁通阀关闭检查执行标记"
0x1FC1D2E301BC	"燃料电池堆旁通阀关闭检查完成标记"
0x1FC1D2E301BD	"燃料电池堆旁通阀关闭检查启用标记"
0x1FC1D2E301BE	"SBW主继电器的输出"
0x1FC1D2E301BF	"SBW副继电器的输出"
0x1FC1D2E301C0	"换档装置A输入信号"
0x1FC1D2E301C1	"换档装置B输入信号"
0x1FC1D2E301C2	"换档装置C输入信号"
0x1FC1D2E301C3	"换档装置D输入信号"
0x1FC1D2E301C4	"换档档位"
0x1FC1D2E301C5	"制动器处于未知状态"
0x1FC1D2E301C6	"制动器处于初始状态"
0x1FC1D2E301C7	"已施加制动器"
0x1FC1D2E301C8	"已完全释放制动器"
0x1FC1D2E301C9	"正在完全释放制动器"
0x1FC1D2E301CA	"正在施加制动器"
0x1FC1D2E301CB	"已完全施加制动器"
0x1FC1D2E301CC	"正在释放制动器"
0x1FC1D2E301CD	"左侧驻车制动器状态"
0x1FC1D2E301CE	"右侧驻车制动器状态"
0x1FC1D2E301CF	"燃料电池堆压力检查完成标记"
0x1FC1D2E301D0	"阴极输入端密封阀关闭检查完成标记"
0x1FC1D2E301D1	"阴极输出端密封阀关闭检查完成标记"
0x1FC1D2E301D2	"用于SBW控制的制动开关1输入信号"
0x1FC1D2E301D3	"车辆停止状态"
0x1FC1D2E301D4	"关闭时的燃料电池发电请求"
0x1FC1D2E301D5	"CPCV控制停止标记"
0x1FC1D2E301D6	"HUMBP控制停止标记"
0x1FC1D2E301D7	"阴极输入端密封阀控制停止标记"
0x1FC1D2E301D8	"阴极输出端密封阀控制停止标记"
0x1FC1D2E301D9	"前副转向角"
0x1FC1D2E301DA	"前副转向角"
0x1FC1D2E301DB	"系统准备就绪状态"
0x1FC1D2E301DC	"PCM发出系统准备就绪信号"
0x1FC1D2E301DD	"PCM发出系统准备就绪信号"
0x1FC1D2E301DE	"来自PCM的系统准备就绪信号（GEN）"
0x1FC1D2E301DF	"来自PCM的系统准备就绪信号（TRC）"
0x1FC1D2E301E0	"PCM发出系统准备就绪信号（电机）"
0x1FC1D2E301E1	"PCM发出系统准备就绪信号（TMU-L）"
0x1FC1D2E301E2	"PCM发出系统准备就绪信号（TMU-R）"
0x1FC1D2E301E3	"换入“P”档。"
0x1FC1D2E301E4	"CPCV全闭位置调节完成"
0x1FC1D2E301E5	"HUMBP全闭位置调节完成"
0x1FC1D2E301E6	"CPCV全闭位置调节重试请求"
0x1FC1D2E301E7	"HUMBP全闭位置调节重试请求"
0x1FC1D2E301E8	"CPCV全闭位置调节正在执行"
0x1FC1D2E301E9	"HUMBP全闭位置调节正在执行"
0x1FC1D2E301EA	"有关上坡路段的状态"
0x1FC1D2E301EB	"节能电机扭矩标记（GEN）"
0x1FC1D2E301EC	"节能电机扭矩标记（GEN）"
0x1FC1D2E301ED	"节能电机扭矩标记（TRC）"
0x1FC1D2E301EE	"该值指定了该参数的格式类型。$01：14M_TC8DCT格式（数据长度12字节）"
0x1FC1D2E301EF	"测试已通过"
0x1FC1D2E301F0	"电压传感器1发出检测到过电压信号"
0x1FC1D2E301F1	"电压传感器1发出检测到过电压信号"
0x1FC1D2E301F2	"电压传感器1超压检测信号（GEN）"
0x1FC1D2E301F3	"电压传感器1超压检测信号（TRC）"
0x1FC1D2E301F4	"电压传感器2发出检测到过电压信号"
0x1FC1D2E301F5	"电压传感器2发出检测到过电压信号"
0x1FC1D2E301F6	"电压传感器2超压检测信号（GEN）"
0x1FC1D2E301F7	"电压传感器2超压检测信号（TRC）"
0x1FC1D2E301F8	"BCM（蓄电池状态监控器）电源电压降判断"
0x1FC1D2E301F9	"VCU操作允许信息"
0x1FC1D2E301FA	"VCU操作允许信息（GEN）"
0x1FC1D2E301FB	"VCU状态"
0x1FC1D2E301FC	"VCU状态（GEN）"
0x1FC1D2E301FD	"检测到车速"
0x1FC1D2E301FE	"检测到车速信号，请停止车辆。"
0x1FC1D2E301FF	"F_V_HOT"
